timestamp,event,details
2025-11-23 13:32:38,SCHEDULER_STARTUP,"{""ADVANCE_MINUTES"": 20, ""MIN_API_INTERVAL"": 2.0, ""POST_RUN_SLEEP"": 900.0, ""BOOKMAKERS_STR"": ""bet365,betway,bodog,coolbet,888sport,unibet,pinnacle,betonlineag,bovada,sportsbet"", ""SPORT_WHITELIST"": [""americanfootball_ncaaf"", ""basketball_nba"", ""basketball_ncaab"", ""americanfootball_nfl"", ""icehockey_nhl""], ""DEMO_PHASE"": true, ""ADAPTIVE_SCHEDULING"": true, ""BASE_RUN_INTERVAL"": 120, ""PEAK_HOURS"": ""17-23"", ""QUOTA_THRESHOLDS"": ""Warning: 70%, Critical: 90%"", ""SLEEP_MODE"": true, ""SLEEP_HOURS"": ""0-8""}"
2025-11-23 13:37:28,SCHEDULED_SLEEP,Bot will run in 2.5 min
2025-11-23 13:40:01,BOT_START,"Key: ...41f9a, Reason: Normal operation (quota: 2.8%)"
2025-11-23 13:50:02,SLEEP_AFTER_RUN,Sleeping 900.0s
2025-11-23 14:00:06,SCHEDULER_STARTUP,"{""ADVANCE_MINUTES"": 20, ""MIN_API_INTERVAL"": 2.0, ""POST_RUN_SLEEP"": 900.0, ""BOOKMAKERS_STR"": ""bet365,betway,bodog,coolbet,888sport,unibet,pinnacle,betonlineag,bovada,sportsbet"", ""SPORT_WHITELIST"": [""basketball_ncaab"", ""icehockey_nhl"", ""americanfootball_nfl"", ""americanfootball_ncaaf"", ""basketball_nba""], ""DEMO_PHASE"": true, ""ADAPTIVE_SCHEDULING"": true, ""BASE_RUN_INTERVAL"": 120, ""PEAK_HOURS"": ""17-23"", ""QUOTA_THRESHOLDS"": ""Warning: 70%, Critical: 90%"", ""SLEEP_MODE"": true, ""SLEEP_HOURS"": ""0-8""}"
2025-11-23 14:01:07,SCHEDULER_STOPPED,User interrupted
2025-11-23 14:01:51,SCHEDULER_STARTUP,"{""ADVANCE_MINUTES"": 20, ""MIN_API_INTERVAL"": 2.0, ""POST_RUN_SLEEP"": 900.0, ""BOOKMAKERS_STR"": ""bet365,betway,bodog,coolbet,888sport,unibet,pinnacle,betonlineag,bovada,sportsbet"", ""SPORT_WHITELIST"": [""basketball_ncaab"", ""icehockey_nhl"", ""americanfootball_nfl"", ""americanfootball_ncaaf"", ""basketball_nba""], ""DEMO_PHASE"": true, ""ADAPTIVE_SCHEDULING"": true, ""BASE_RUN_INTERVAL"": 120, ""PEAK_HOURS"": ""17-23"", ""QUOTA_THRESHOLDS"": ""Warning: 70%, Critical: 90%"", ""SLEEP_MODE"": true, ""SLEEP_HOURS"": ""0-8""}"
2025-11-23 14:06:42,NO_NEXT_EVENT,Sleeping 12 min
2025-11-23 14:23:31,NO_NEXT_EVENT,Sleeping 12 min
2025-11-23 14:40:21,RUN_NOW,Event at 2025-11-23 22:00:00+00:00
